stock_code,stock_name,date,open,close,high,low,volume,amount
000860,顺鑫农业,2026-05-07,12.61,12.44,12.68,12.43,6699510,0
000860,顺鑫农业,2026-05-08,12.43,12.48,12.58,12.41,5778069,0
000860,顺鑫农业,2026-05-11,12.49,12.55,12.61,12.38,6904141,0
000860,顺鑫农业,2026-05-12,12.55,12.31,12.56,12.3,7174940,0
000860,顺鑫农业,2026-05-13,12.32,12.26,12.36,12.22,5701331,0
000860,顺鑫农业,2026-05-14,12.25,12.46,12.88,11.97,19067501,0
000860,顺鑫农业,2026-05-15,12.36,12.04,12.36,12.02,9483028,0
000860,顺鑫农业,2026-05-18,11.99,11.78,12.02,11.76,7254173,0
000860,顺鑫农业,2026-05-19,11.77,11.86,11.93,11.77,4885360,0
000860,顺鑫农业,2026-05-20,11.81,11.66,11.92,11.64,7683890,0
000860,顺鑫农业,2026-05-21,11.62,11.54,11.85,11.43,9012546,0
000860,顺鑫农业,2026-05-22,11.54,11.22,11.6,11.22,9220930,0
000860,顺鑫农业,2026-05-25,11.18,11.35,11.49,11.12,11139631,0
000860,顺鑫农业,2026-05-26,11.29,11.2,11.45,11.1,8567000,0
000860,顺鑫农业,2026-05-27,11.15,11.35,11.68,10.95,18061114,0
000860,顺鑫农业,2026-05-28,11.24,11.02,11.27,10.95,9218114,0
000860,顺鑫农业,2026-05-29,11.01,11.5,11.65,10.96,17965472,0
000860,顺鑫农业,2026-06-01,11.38,11.51,11.53,11.24,9401930,0
000860,顺鑫农业,2026-06-02,11.45,11.22,11.67,11.21,11769897,0
000860,顺鑫农业,2026-06-03,11.14,11.05,11.22,10.95,9980325,0
000860,顺鑫农业,2026-06-04,11.04,10.68,11.18,10.66,8912779,0
000860,顺鑫农业,2026-06-05,10.69,10.76,10.95,10.69,6563702,0
000860,顺鑫农业,2026-06-08,10.7,10.59,10.9,10.48,7200130,0
000860,顺鑫农业,2026-06-09,10.6,10.37,10.6,10.34,6642400,0
000860,顺鑫农业,2026-06-10,10.36,10.39,10.44,10.27,6524505,0
000860,顺鑫农业,2026-06-11,10.35,10.27,10.38,10.19,6444160,0
000860,顺鑫农业,2026-06-12,10.32,10.45,10.56,10.27,7762179,0
000860,顺鑫农业,2026-06-15,10.46,10.57,10.66,10.43,6347925,0
000860,顺鑫农业,2026-06-16,10.52,10.37,10.53,10.33,4900074,0
000860,顺鑫农业,2026-06-17,10.36,10.15,10.4,10.07,6518312,0
002041,登海种业,2026-05-07,10.17,10.03,10.22,9.98,14729292,0
002041,登海种业,2026-05-08,10.04,10.13,10.17,10.02,11573601,0
002041,登海种业,2026-05-11,10.2,10.26,10.53,10.18,16450200,0
002041,登海种业,2026-05-12,10.25,10.0,10.25,9.93,14549195,0
002041,登海种业,2026-05-13,10.03,10.05,10.15,9.95,11888251,0
002041,登海种业,2026-05-14,10.06,9.94,10.07,9.91,10322656,0
002041,登海种业,2026-05-15,9.9,9.67,9.9,9.59,13168455,0
002041,登海种业,2026-05-18,9.69,9.53,9.7,9.44,11186600,0
002041,登海种业,2026-05-19,9.56,9.5,9.62,9.33,12063530,0
002041,登海种业,2026-05-20,9.44,9.19,9.47,9.18,12769806,0
002041,登海种业,2026-05-21,9.19,8.83,9.28,8.81,16496537,0
002041,登海种业,2026-05-22,8.9,8.82,8.93,8.72,11848200,0
002041,登海种业,2026-05-25,8.82,8.84,8.93,8.78,9301600,0
002041,登海种业,2026-05-26,8.8,8.8,8.82,8.67,10529275,0
002041,登海种业,2026-05-27,8.81,8.88,8.95,8.7,15807949,0
002041,登海种业,2026-05-28,8.85,8.7,8.85,8.55,13620288,0
002041,登海种业,2026-05-29,8.71,8.69,8.85,8.65,12271000,0
002041,登海种业,2026-06-01,8.68,8.87,8.93,8.63,15977164,0
002041,登海种业,2026-06-02,8.88,8.69,8.9,8.67,13821158,0
002041,登海种业,2026-06-03,8.8,8.7,8.84,8.59,13169125,0
002041,登海种业,2026-06-04,8.65,8.49,8.82,8.45,13821627,0
002041,登海种业,2026-06-05,8.49,8.47,8.62,8.43,10205620,0
002041,登海种业,2026-06-08,8.35,8.24,8.52,8.14,13325700,0
002041,登海种业,2026-06-09,8.22,8.17,8.27,8.04,10163695,0
002041,登海种业,2026-06-10,8.17,8.15,8.25,8.08,8487600,0
002041,登海种业,2026-06-11,8.15,8.18,8.25,8.04,8085200,0
002041,登海种业,2026-06-12,8.18,8.7,8.91,8.13,25289950,0
002041,登海种业,2026-06-15,8.9,8.92,8.98,8.69,18265515,0
002041,登海种业,2026-06-16,8.87,8.7,8.89,8.61,12242244,0
002041,登海种业,2026-06-17,8.73,8.47,8.73,8.43,9227956,0
002299,圣农发展,2026-05-07,18.9,18.6,18.97,18.47,13206700,0
002299,圣农发展,2026-05-08,18.6,18.31,18.85,18.18,12704730,0
002299,圣农发展,2026-05-11,18.31,18.14,18.55,18.09,13208111,0
002299,圣农发展,2026-05-12,18.15,18.21,18.52,17.97,12307100,0
002299,圣农发展,2026-05-13,18.21,17.99,18.32,17.93,9871283,0
002299,圣农发展,2026-05-14,17.99,18.88,19.3,17.93,23926350,0
002299,圣农发展,2026-05-15,18.7,18.15,18.78,18.07,14392932,0
002299,圣农发展,2026-05-18,18.07,17.74,18.13,17.58,12102100,0
002299,圣农发展,2026-05-19,17.71,17.55,17.95,17.27,9317000,0
002299,圣农发展,2026-05-20,17.44,17.56,17.66,17.31,6644500,0
002299,圣农发展,2026-05-21,17.51,17.22,17.76,17.2,11931184,0
002299,圣农发展,2026-05-22,17.29,17.09,17.37,17.02,7570500,0
002299,圣农发展,2026-05-25,17.11,16.98,17.26,16.84,9602601,0
002299,圣农发展,2026-05-26,16.98,17.11,17.28,16.89,10257260,0
002299,圣农发展,2026-05-27,17.12,17.05,17.4,16.92,10846541,0
002299,圣农发展,2026-05-28,17.0,16.82,17.05,16.57,8742700,0
002299,圣农发展,2026-05-29,16.84,16.99,17.22,16.8,9063858,0
002299,圣农发展,2026-06-01,16.99,17.55,17.74,16.91,14792600,0
002299,圣农发展,2026-06-02,17.59,17.14,17.66,17.03,9708142,0
002299,圣农发展,2026-06-03,17.05,16.79,17.14,16.54,12419158,0
002299,圣农发展,2026-06-04,16.68,16.4,16.95,16.35,10062291,0
002299,圣农发展,2026-06-05,16.38,16.28,16.59,16.19,8053100,0
002299,圣农发展,2026-06-08,16.16,15.98,16.56,15.84,12046402,0
002299,圣农发展,2026-06-09,15.95,15.8,15.99,15.64,8895921,0
002299,圣农发展,2026-06-10,15.83,16.03,16.07,15.7,7973600,0
002299,圣农发展,2026-06-11,15.93,16.08,16.12,15.81,7384058,0
002299,圣农发展,2026-06-12,16.09,16.4,16.56,15.82,11673303,0
002299,圣农发展,2026-06-15,16.29,16.47,16.53,16.25,8644162,0
002299,圣农发展,2026-06-16,16.4,16.09,16.41,15.98,8804800,0
002299,圣农发展,2026-06-17,16.0,16.22,16.28,15.98,7508904,0
002385,大北农,2026-05-07,3.88,3.85,3.89,3.84,70638143,0
002385,大北农,2026-05-08,3.85,3.85,3.87,3.84,44085916,0
002385,大北农,2026-05-11,3.85,3.84,3.86,3.82,70455338,0
002385,大北农,2026-05-12,3.84,3.8,3.85,3.8,61176300,0
002385,大北农,2026-05-13,3.81,3.81,3.82,3.8,41793465,0
002385,大北农,2026-05-14,3.82,3.79,3.82,3.76,73989490,0
002385,大北农,2026-05-15,3.79,3.73,3.79,3.71,65442936,0
002385,大北农,2026-05-18,3.72,3.62,3.72,3.61,76786348,0
002385,大北农,2026-05-19,3.61,3.59,3.64,3.54,70339522,0
002385,大北农,2026-05-20,3.57,3.5,3.57,3.48,70804567,0
002385,大北农,2026-05-21,3.5,3.46,3.54,3.46,57472227,0
002385,大北农,2026-05-22,3.48,3.46,3.51,3.43,56564034,0
002385,大北农,2026-05-25,3.46,3.37,3.47,3.34,82215500,0
002385,大北农,2026-05-26,3.36,3.39,3.41,3.34,60887353,0
